Start Time,End Time,Duration,Site Name
2023-12-21 00:15:38,2023-12-21 00:15:55,00:00:17,123
2023-12-21 00:15:58,2023-12-21 00:15:59,00:00:01,123
2023-12-21 00:16:47,2023-12-21 00:16:53,00:00:06,Clayton
2023-12-21,00:21:16,00:22:07,00:00:51,
2023-12-21,00:22:36,00:22:43,00:00:07,clayton
2023-12-21,00:23:34,00:23:39,00:00:05,degweb
2023-12-26,21:37:43,21:52:28,00:14:45,phpvms
2023-12-26,21:52:30,21:55:37,00:03:07,phpvms
2024-02-03,20:40:50,20:41:01,00:00:11,avaelable
2024-02-07,12:29:08,12:29:12,00:00:04,pippo
2024-02-07,17:12:02,17:12:08,00:00:06,Ggg
